,skootar_id,normal_job,car_night,rbh_night,skt_job,night,full_time,purchasing_service,cheque_collecting,promptpay,pay_lte_100,need_food_box,doc_processing,schedule,level
9669,SE1155,478,478,9,0,0,0,0,0,0,0,0,0,0,1.0
9670,SE0877,70,70,7,0,0,0,0,0,0,0,0,0,0,0.0
9671,SE0918,246,246,26,0,0,0,0,0,0,0,0,0,0,0.0
9672,SA8225,31,31,0,0,0,0,0,0,0,0,0,0,0,0.0
9673,SB9001,35,35,3,0,0,0,0,0,0,0,0,0,0,0.0
9674,SE0603,22,22,2,0,0,0,0,0,0,0,0,0,0,0.0
9675,SB2049,19,19,14,0,0,0,0,0,0,0,0,0,0,0.0
9676,SA1102,231,231,16,0,0,0,0,0,0,0,0,0,0,0.0
9677,SB1344,194,194,0,0,0,0,0,0,0,0,0,0,0,0.0
9678,SE0917,251,251,155,0,0,0,0,0,0,0,0,0,0,1.0
9679,SE1205,367,367,23,0,0,0,0,0,0,0,0,0,0,0.0
9680,SB4611,18,18,3,0,0,0,0,0,0,0,0,0,0,0.0
9681,SE1012,9,9,3,0,0,0,0,0,0,0,0,0,0,0.0
9682,SD8385,487,487,15,0,0,0,0,0,0,0,0,0,0,0.0
9683,SD8586,314,314,30,0,0,0,0,0,0,0,0,0,0,0.0
9684,SE0474,356,356,17,0,0,0,0,0,0,0,0,0,0,0.0
9685,SA5018,9,9,3,0,0,0,0,0,0,0,0,0,0,0.0
9686,SE0818,78,78,53,0,0,0,0,0,0,0,0,0,0,0.0
9687,SA5846,281,281,24,0,0,0,0,0,0,0,0,0,0,0.0
9688,SA6777,37,37,18,0,0,0,0,0,0,0,0,0,0,0.0
9689,SA3345,3,3,2,0,0,0,0,0,0,0,0,0,0,0.0
9690,SE0908,61,61,0,0,0,0,0,0,0,0,0,0,0,0.0
9691,SE0993,557,557,10,0,0,0,0,0,0,0,0,0,0,0.0
9692,SD9645,10,10,0,0,0,0,0,0,0,0,0,0,0,0.0
9693,SE0698,131,131,3,0,0,0,0,0,0,0,0,0,0,0.0
